"","year","stfips","stabb","cntyfips","cntyname","commoditycode","commodityname","insplancode","insplanname","covcateg","claim","acres.total","unitssold","meancov","lostacres","ratio","fullfips","logacres","logunitssold","cat","y2016","y2017","fullfips.ch","commoditycode.ch","insplancode.ch"
"90034",2017,53,"WA",77,"Yakima",41,"CORN",1,"YP","C",0,9571,19,0.5,0,0,53077,9.16649297219591,2.94443897916644,1,0,1,"53077","41","1"
"90035",2017,53,"WA",77,"Yakima",47,"DRY BEANS",90,"APH","A",0,153,2,0.75,0,0,53077,5.03043792139244,0.693147180559945,0,0,1,"53077","47","90"
"90036",2017,53,"WA",77,"Yakima",47,"DRY BEANS",90,"APH","C",0,160,1,0.5,0,0,53077,5.07517381523383,0,1,0,1,"53077","47","90"
"90037",2017,53,"WA",77,"Yakima",218,"FRESH APRICOTS",90,"APH","A",0,200,17,0.5245,0,0,53077,5.29831736654804,2.83321334405622,0,0,1,"53077","218","90"
"90038",2017,53,"WA",77,"Yakima",218,"FRESH APRICOTS",90,"APH","C",0,38,2,0.5,0,0,53077,3.63758615972639,0.693147180559945,1,0,1,"53077","218","90"
"90039",2017,53,"WA",77,"Yakima",223,"FRESH FREESTONE PEACHES",90,"APH","A",0,389,22,0.51426735218509,0,0,53077,5.96357934361845,3.09104245335832,0,0,1,"53077","223","90"
"90040",2017,53,"WA",77,"Yakima",220,"FRESH NECTARINES",90,"APH","A",0,391,19,0.51074168797954,0,0,53077,5.96870755998537,2.94443897916644,0,0,1,"53077","220","90"
"90041",2017,53,"WA",77,"Yakima",220,"FRESH NECTARINES",90,"APH","C",0,63,4,0.5,0,0,53077,4.14313472639153,1.38629436111989,1,0,1,"53077","220","90"
"90042",2017,53,"WA",77,"Yakima",53,"GRAPES",90,"APH","A",0,678,53,0.602581120943953,0,0,53077,6.5191472879404,3.97029191355212,0,0,1,"53077","53","90"
"90043",2017,53,"WA",77,"Yakima",74,"MINT",90,"APH","C",0,3297,16,0.5,0,0,53077,8.10076824307173,2.77258872223978,1,0,1,"53077","74","90"
"90044",2017,53,"WA",77,"Yakima",92,"PLUMS",90,"APH","A",0,88,9,0.595454545454545,0,0,53077,4.47733681447821,2.19722457733622,0,0,1,"53077","92","90"
"90045",2017,53,"WA",77,"Yakima",92,"PLUMS",90,"APH","C",0,30,4,0.5,0,0,53077,3.40119738166216,1.38629436111989,1,0,1,"53077","92","90"
"90046",2017,53,"WA",77,"Yakima",84,"POTATOES",90,"APH","C",0,604,3,0.5,0,0,53077,6.40357419793482,1.09861228866811,1,0,1,"53077","84","90"
