fips,area,latitude,longitude
6041,828.192,38.051817,-122.745974
6043,1462.82,37.570034,-119.91286
6045,3878.141,39.432388,-123.442881
6047,1978.509,37.194806,-120.722802
6049,4203.399,41.592919,-120.71837
6051,3131.876,37.915836,-118.875167
6053,3771.221,36.240107,-121.315573
6055,788.582,38.507351,-122.325995
6057,973.801,39.295191,-120.773446
6059,948.066,33.675687,-117.777207
6061,1502.456,39.062032,-120.722718
6063,2613.428,39.99517,-120.829516
6065,7303.42,33.729828,-116.002239
6067,994.018,38.450011,-121.340441
6069,1390.469,36.610702,-121.085296
6071,20104.826,34.85722,-116.181197
6073,4525.685,33.023604,-116.776117
6075,231.889,37.727239,-123.032229
6077,1426.499,37.935034,-121.272237
6079,3615.547,35.385227,-120.44754
6081,740.959,37.414664,-122.371542
6083,3789.078,34.537378,-120.038485
6085,1304.067,37.220777,-121.690622
6087,607.166,37.012488,-122.007205
6089,3847.422,40.760522,-122.04355
6091,962.21,39.576925,-120.521993
6093,6347.343,41.587986,-122.533287
6095,906.192,38.267226,-121.939594
6097,1767.947,38.532574,-122.945194
6099,1514.687,37.562384,-121.002656
6101,608.49,39.035257,-121.702758
6103,2962.171,40.126156,-122.232276
6105,3207.597,40.647724,-123.114404
6107,4838.652,36.230453,-118.780542
6109,2274.43,38.021451,-119.964708
6111,2208.382,34.358742,-119.133143
6113,1023.557,38.679268,-121.903178
6115,643.808,39.270026,-121.34428
8001,1183.896,39.874325,-104.331872
8003,723.341,37.568442,-105.788041
8005,805.437,39.644632,-104.331733
8007,1355.514,37.202395,-107.050863
8009,2557.339,37.303144,-102.535457
8011,1541.083,37.931891,-103.077584
8013,740.37,40.094826,-105.398382
8014,33.6,39.953383,-105.052125
8015,1014.953,38.738246,-106.316972
8017,1781.429,38.835387,-102.604585
8019,396.493,39.689403,-105.670791
8021,1290.957,37.213407,-106.176447
8023,1230.361,37.277547,-105.42894
8025,800.329,38.321956,-103.787562
8027,739.924,38.101994,-105.373515
8029,1148.599,38.861756,-107.864757
8031,154.631,39.761849,-104.880625
8033,1068.1,37.747602,-108.530383
8035,842.869,39.326435,-104.926199
8037,1691.791,39.630638,-106.692944
8039,1851.018,39.310817,-104.117928
8041,2129.547,38.827383,-104.527472
8043,1533.931,38.455658,-105.421438
8045,2955.837,39.599352,-107.90978
8047,150.26,39.861082,-105.528947
8049,1869.593,40.123289,-106.095876
8051,3259.63,38.669679,-107.078108
8053,1123.168,37.811625,-107.383405
8055,1593.237,37.687815,-104.959928
8057,1620.962,40.663432,-106.329248
8059,774.033,39.58646,-105.245601
8061,1785.927,38.388466,-102.75621
8063,2161.691,39.30534,-102.603023
8065,383.909,39.204316,-106.349696
8067,1699.707,37.287367,-107.839718
8069,2633.954,40.663091,-105.482131
8071,4775.348,37.318831,-104.04411
8073,2586.422,38.99374,-103.507555
8075,1844.865,40.728091,-103.090464
8077,3341.123,39.019492,-108.461837
8079,877.682,37.651478,-106.9323
8081,4750.912,40.573984,-108.204521
8083,2040.151,37.338025,-108.595786
8085,2242.596,38.413427,-108.263042
8087,1293.743,40.262354,-103.807092
8089,1269.703,37.88417,-103.72126
8091,542.211,38.1506,-107.767133
8093,2210.653,39.118914,-105.717648
8095,688.045,40.594712,-102.345105
8097,973.195,39.217533,-106.915943
8099,1644.323,37.958181,-102.392161
8101,2397.795,38.170658,-104.489893
8103,3222.814,39.972606,-108.200685
8105,912.338,37.485763,-106.453214
8107,2368.136,40.48316,-106.985289
8109,3170.245,38.033952,-106.246675
8111,388.274,37.781075,-107.670257
8113,1288.624,38.009374,-108.427326
8115,549.404,40.871568,-102.355358
8117,619.278,39.621023,-106.137555
8119,558.964,38.871994,-105.182552
8121,2523.903,39.965413,-103.209605
8123,4016.796,40.555794,-104.383649
8125,2368.704,40.000631,-102.422649
9001,836.923,41.228103,-73.366757
9003,750.624,41.806053,-72.732916
9005,944.562,41.791897,-73.235428
9007,439.063,41.434525,-72.524227
9009,862.057,41.349717,-72.900204
9011,771.699,41.47863,-72.103452
9013,417.047,41.858076,-72.340977
9015,521.44,41.824999,-71.990702
10001,798.331,39.097088,-75.502982
10003,494.003,39.575915,-75.644132
10005,1196.391,38.677511,-75.335495
11001,68.34,38.904149,-77.017094
12001,968.808,29.67574,-82.357221
12003,588.971,30.324442,-82.302284
12005,1033.153,30.237563,-85.631348
12007,300.489,29.946934,-82.166796
12009,1556.995,28.298276,-80.700384
12011,1322.862,26.19352,-80.476658
12013,574.313,30.388801,-85.197916
12015,858.301,26.868826,-81.940858
12017,773.294,28.843628,-82.524796
12019,643.548,29.987116,-81.858147
12021,2305.015,26.118713,-81.400884
12023,801.328,30.221305,-82.623127
12027,639.482,27.190581,-81.806253
12029,863.65,29.580899,-83.195666
12031,918.452,30.335245,-81.648113
12033,874.704,30.611664,-87.33904
12035,570.825,29.474894,-81.286362
12037,1026.494,29.810176,-84.799174
12039,528.528,30.57917,-84.612783
12041,355.239,29.723456,-82.795801
12043,986.848,26.95481,-81.19082
12045,755.561,29.907257,-85.256537
12047,519.056,30.491102,-82.951049
12049,638.339,27.492846,-81.82158
12051,1189.996,26.53934,-81.151584
12053,589.022,28.567911,-82.464835
12055,1106.035,27.342627,-81.340921
12057,1265.765,27.90659,-82.349568
12059,489.047,30.866222,-85.812959
